questionId,text,score
1,tempéré,-6
1,froid,2
1,occlus,2
1,chaud,2
2,descend plus vite,3
2,vole moins vite,-6
2,vole plus vite,3
2,descend moins vite,-6
3,En réduisant la prise de risque,2
3,En améliorant la gestion de la peur,2
3,En réduisant l'inconnu,2
3,En éliminant toutes les erreurs humaines,-6
4,permet d'exploiter la brise de pente loin du relief,-6
4,renforce les brises de pente et de vallée,4
4,rend la brise de pente irrégulière,2
5,indique la vitesse à laquelle varie la pression,-6
5,ne subit pas l'influence des variations de température,-6
5,utilise une échelle d'altitude calibrée pour des valeurs météo moyennes (atmosphère standard),3
5,même en parfait état est susceptible d'afficher pour une altitude donnée des valeurs qui peuvent varier selon l'heure et le lieu,3
6,l'interdiction des activités humaines dans son périmètre,-6
6,la protection d'un milieu naturel,2
6,le développement d'une activité touristique respectueuse de l'environnement,2
6,la sensibilisation à l'environnement,2
7,peut entraîner un verrouillage irrémédiable,3
7,peut être utilisé en école,-6
7,est fortement déconseillé,3
7,n'est jamais dangereux,-6
8,ne varie jamais,-6
8,est toujours inférieure à la finesse-air,-6
8,est identique à la finesse-air dans une masse d'air immobile,6
9,1500 m horizontalement et 300 m verticalement,6
9,0 m,-6
9,50 m horizontalement et 0 m verticalement,-6
10,"je suis très méfiant, il pourrait arriver une masse d'air plus humide qui condense plus bas et me bouche la sortie, j'ai toujours une échappatoire latérale",3
10,je suis sur un bord du nuage pour pouvoir m'échapper à tout moment,3
10,"pas de soucis, j'ai une boussole ou un GPS",-6
10,"j'en profite au maximum, c'est un nuage isolé, ça n'est pas grave si je passe un peu dedans",-6
11,vous effectuez éventuellement une journée de stage en milieu aménagé,3
11,vous multipliez les vols dans des aérologies standards pour vous la rendre familière,3
11,vous recherchez la phase parachutale,-6
11,"après un peu de gain, vous réalisez quelques « 360° » engagés afin de mesurer le taux de chute maximal",-6
12,impose une prévol qui valide le système de verrouillage du container de la sellette,2
12,n'exige pas l'étude d'un geste d'extraction particulier,-6
12,expose le pilote à des risques d'ouverture intempestive,2
12,"demande de réfléchir à la direction, la puissance et la rapidité du geste de lancer",2
13,"m'évite d'avoir à faire une analyse trop compliquée, s'ils volent c'est que c'est bon pour moi",-6
13,permet d'échanger sur nos expériences et de trouver des modes de pratiques plus sûrs,3
13,"pour partager nos analyses, nos décisions, et faire mes choix avec plus d'éléments",3
13,cela me permet de me mesurer à leurs performances,0
14,vous freinez à gauche pour forcer la réouverture,-6
14,vous chargez la demi-aile droite simultanément à la sellette et à la commande,2
14,vous freinez du côté opposé pour stabiliser votre trajectoire en évitant le « surcontre »,2
14,"de retour au vol droit, si l'aile est toujours fermée, vous pouvez forcer sa réouverture par une action ample et non maintenue du frein gauche",2
15,20 km/h,-6
15,18 km/h,-6
15,36 km/h,6
16,Zone Sans Montagne,-6
16,Zone de Sensibilité Mineure,-6
16,Zone Super Malsaine,-6
16,Zone de Sensibilité Majeure,6
17,les niveaux de températures,-6
17,les niveaux des risques de précipitation,-6
17,les anticyclones et les dépressions,6
18,un couple piqueur,-6
18,du roulis induit à droite,6
18,du roulis induit à gauche,-6
18,un couple cabreur,-6
19,la traînée de forme,6
19,la traînée induite,-6
19,la traînée d'effet de sol,-6
20,est nécessaire pour enseigner,-6
20,garantit à l'élève le respect des exigences fédérales en matière d'apprentissage,6
20,permet à un club d'enseigner sans moniteur,-6
21,"ainsi, la voile ne fermera jamais",-6
21,votre taux de chute est augmenté,3
21,cela améliore votre pénétration,-6
21,votre finesse est dégradée,3
22,le vent sera nul ou très faible en vallée,-6
22,"vous devez envisager l'éventualité d'un vent de vallée fort, surtout si la vallée est étroite",3
22,"dans tous les cas, il est prudent de prévoir des possibilités tenant compte d'un éventuel vent de vallée fort",3
23,"il n'y a pas de différence, c'est comme le vélo ça ne s'oublie pas",-6
23,j'utilise des conditions faciles pour moi,3
