questionId,Text
1,Types de fronts possibles dans une perturbation :
2,"Si deux pilotes ont la même aile, à même incidence, le plus lourd :"
3,Comment l'expérience peut-elle influencer les facteurs humains en parapente ?
4,Le déclenchement des thermiques :
5,L'altimètre :
6,Un parc national a pour objectifs :
7,"Par vent fort, le vol captif sur point fixe (corde attachée au sol) :"
8,La finesse-sol :
9,"A toute altitude dans les espaces aériens classés E et au-dessus de 900 m mer ou 300 m sol en montagne dans les espaces aériens non contrôlés, la distance minimale à respecter par rapport aux nuages est de :"
10,Je m'approche de la base du nuage :
11,"Vous venez d'acquérir une nouvelle aile, afin de mieux la connaître et comme vous avez un parachute de secours :"
12,L'emport du parachute de secours :
13,Être en rapport avec d'autres pilotes est important :
14,Votre demi-aile gauche se ferme :
15,Un vent de 20 kt (nœuds) souffle à environ :
16,L'acronyme ZSM signifie :
17,Les isobares sur une carte météo montrent :
18,Un mouvement de lacet à droite déclenche principalement :
19,Se relever dans la sellette en finale augmente :
20,Le label École Française de Vol Libre (EFVL) ou Club-École français de Vol Libre (CEFVL) :
21,Vous faites les « oreilles » :
22,Vous vous apprêtez à décoller à 15 h sur un versant ensoleillé où s'est établi une légère brise montante. Le vent météo est nul :
23,C'est mon premier vol de la saison :
24,La connaissance de soi en tant que pilote passe par une connaissance :
25,"Pour identifier à quelle espèce appartient un rapace en vol, on observe surtout :"
26,Une voile classée « A » aux tests de la norme CEN :
27,"En vol de pente, la priorité revient à l'aile qui :"
28,Facteurs favorisant l'instabilité :
29,Le poids apparent sur un appareil en virage équilibré est :
30,Les nuages favorables aux vols de performances sont les :
31,Le vol à l'intérieur des nuages est permis :
32,Un halo autour de la lune ou du soleil est souvent :
33,Dans une atmosphère à tendance stable :
34,"Vous êtes 200 m sous un gros cumulus, vers son centre, vous observez quelques nuages déchiquetés et un variomètre fortement positif :"
35,La vitesse de votre appareil par rapport au sol est :
36,"Vous prévoyez une journée de vol, le jour J les prévisions météo se sont dégradées :"
37,Le décrochage a lieu en général :
38,L'effet girouette remet l'aile :
39,"En vol, je rencontre un rapace qui enchaîne piqués et prises d'altitude :"
40,Pour assumer l'emploi du parachute de secours il faut :
41,Quel est le type de carte aéronautique le plus adapté pour le vol libre ?
42,Les ascendances thermiques :
43,Les bulles de quiétude :
44,Un pilote breveté ayant une pratique loisir irrégulière :
45,"Lorsqu'une particule d'air nuageux est soulevée, sa température :"
46,en turbulences vous faites les oreilles :
47,Les domaines de compétences techniques et non techniques du pilote :
48,"Pour réduire le risque de fermeture en parapente, il faudra :"
49,Le meilleur profil d'un terrain de décollage est :
50,Le calage d'une aile de parapente :
51,"Si la charge alaire est réduite, l'aile :"
52,Le passage d'un cumulonimbus dans votre secteur de vol :
53,Quelle est la meilleure méthode pour gérer la fatigue lors de vols successifs ?
54,La traînée totale d'un aéronef se divise en :
55,"Dans un parc national, on trouve les zones suivantes :"
56,Peut-on voler dans les ZIT mentionnées sur les cartes aéronautiques ?
57,Un thermique pur ou bleu :
58,Au cours d'un vol de pente en conditions relativement turbulentes :
59,En situation de fœhn on observe :
60,L'emport du parachute de secours :
61,Lequel de ces facteurs humains peut mener à une mauvaise évaluation des conditions météorologiques ?
62,Vous empruntez l'aile d'un pilote plus lourd que vous :
63,Les signes distinctifs du Cumulonimbus et du Nimbostratus sont :
64,Par une belle journée d'ascendances où des orages sont annoncés :
65,La période de reproduction :
66,"Sur une aile en vol, il y a plusieurs types de traînées de natures bien distinctes :"
67,En turbulences :
68,On appelle inversion de la température la situation suivante :
69,Le brevet de pilote et la qualification biplace sont certifiés par :
70,L'attention à porter au parachute de secours pour le pilote c'est savoir qu'il faut :
71,La finesse-air maximale est :
72,"En haute montagne, la densité de l'air diminuant avec l'altitude et pour que votre aile puisse décoller, vous devez vous attendre à courir :"
73,La traînée d'un parapente se décompose en :
74,"La traîne d'une perturbation, c'est la zone :"
75,En général un front froid engendre des nuages :
76,"En vol, juste après une configuration extrême et/ou violente, j'essaie de me remobiliser en :"
77,La distance moyenne à laquelle on mesure un dérangement des espèces sauvages par les libéristes est de :
78,Quelles indications sont portées dans le cartouche d'identification d'un espace ?
79,La norme CEN E 926-1 et 2 :
80,Pour faire les oreilles :
81,La traînée sur l'ensemble aile + pilote :
82,J'ai conduit jusque tard dans la nuit pour rejoindre le site de vol. Les conditions sont annoncées fumantes :
83,Le freinage final par vent fort :
84,La présence de rapaces en vol battu :
85,Quelle est l'altitude maximale autorisée en vol libre ?
86,Vous êtes en approche ; une aile est juste en dessous de vous :
87,Le soleil réchauffe principalement l'atmosphère :
88,"La cause de formation des nuages, c'est :"
89,"Parmi les points suivants, certains améliorent la finesse :"
90,Le parachute de secours :
91,Vous ne pouvez pas :
92,"A vitesse de taux de chute mini, pour amorcer un virage à droite sans trop perdre de vitesse et ne pas risquer la mise en vrille, vous devez :"
93,Quels sont les avantages d'un débriefing après le vol ?
94,"En soufflerie, lorsque l'angle d'incidence augmente à partir de 0°, la portance :"
95,La surface d'un parapente est généralement donnée par :
96,Une aile en vol stabilisé dans une ascendance :
97,"Lorsqu'une particule atmosphérique non saturée s'élève sans échanger de chaleur avec l'air ambiant, sa température :"
98,L'Hectopascal est une unité de :
99,Les Arrêtés Préfectoraux de Protection de Biotope (APPB) et les Arrêtés Préfectoraux de Protection des Habitats Naturels (APPHN) :
100,"En vol, la dureté de mes commandes :"
101,On risque de rencontrer une zone de cisaillement :
102,L'accompagnateur fédéral utilise sa radio :
103,Avec les oreilles :
104,Je suis sur une petite transition vers mon atterrissage habituel mais aujourd'hui je suis particulièrement bas et une forêt se situe entre moi et l'atterrissage :
105,La finesse-air est le rapport :
106,Le centrage d'une aile :
107,Vous constatez une diminution du vent relatif. L'aile s'enfonce. Vous réagissez en :
108,Les nuages de type stratus :
109,Le vol au sein d'une bulle de quiétude :
110,Un altimètre :
111,La norme CEN E 926-1 et 2 :
112,Quels sont les effets de la fatigue sur un pilote de parapente ?
113,Au sein d'une réserve naturelle :
114,"Lors du passage d'un front, l'air chaud :"
115,Pour rester dans une ascendance dynamique près du relief :
